entity_id,Name,Address,Latitude,Longitude,Rating,Reviews,phone_number,Parking availability,Desciption,Peak hours,Links,Documents required,Dress code,Category,sub_category,sub_sub_category,region,Image_url
1,"Sri Padmavati Ammavaari Temple, Tiruchanur (Alimelu Mangapuram)","Sannidhi St, Tiruchanur, Andhra Pradesh 517503",13.60782963,79.45030018,,,0877 227 7777,Yes,"Goddess Padmavathi (Alamelu Mangamma), consort of Lord Venkateswara.",(4-6 AM) (3-9 PM),https://ttdevasthanams.ap.gov.in/temple/templeName?Sri%20Padmavathi%20Ammavari%20Temple&templeMapping=SRIPAT_TCNR&flowIdentifier=temples&accesstype=web,"valid government ID (Aadhaar, Passport, Voter ID)","men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1qEurfCfpsKa47P1nmd4bSxjIgznSlJ92/view?usp=sharing
2,Sri Govindaraja Swamy Temple,"North Mada Street, Tirumala, Tirupati, Andhra Pradesh 517501",13.62969358,79.41617512,,,TTD Helpline: 0877-2233333 / 2277777.,Yes,"Dedicated to Lord Govindaraja (Vishnu), considered the elder brother of Lord Venkateswara.",early mornings (around 5-7 AM) and evenings (around 7-9 PM),Sri Govindaraja Swamy temple,"a valid government ID (Aadhaar, Passport, etc.) for booking (if paid)","men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1y52F7qQ5daKiE-xxmPYpEgdoge0mso6r/view?usp=sharing
3,Sri Kapileswara Swamy Temple (Kapila Theertham),"Avilala Rd, Ambedhkar Colony, Tirupati, Andhra Pradesh 517507",13.65622243,79.42121197,,,TTD Helpline: 0877-2233333 / 2277777.,Yes,"Sri Kapileswara Swamy Temple (Kapila Theertham) is a famous Shiva temple and sacred waterfall at the foot of Tirumala hills in Tirupati, Andhra Pradesh",,: https://www.tirumala.org,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1he4LaB8xVgxJY902fVTTOo2azT2gQcEg/view?usp=sharing
4,Sri Kodandarama Swamy Temple,"Near Municipal Office / Bus Stand area, in the heart of Tirupati town, about 1 km from Tirupati Railway Station, Chittoor District, Andhra Pradesh 517501, India.",13.63577402,79.41640856,,,TTD Helpline: 0877-2233333 / 2277777.,Yes,"Deity is Sri Kodandarama with bow (kodanda), flanked by Sita and Lakshmana, and the temple is associated with Rama’s journey back from Lanka","(after 6:00 AM), evenings 6:00–8:30 PM, weekends, Ekadasi days, and especially Sri Rama Navami/Brahmotsavam days.",https://tirumalatirupatiyatra.in/tirupati/temples-to-visit/sri-kodandarama-swamy/,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1YyPICi29m_15wCeSLvZ7not8zjHjm7kQ/view?usp=sharing
5,Tataiahgunta Gangamma Temple,"Gangamma Temple, Thathiahgunta (Tataiahgunta / Tata Nagar), central Tirupati, Andhra Pradesh 517501, India",13.63481825,79.4232547,,,"91 90521 74494, +91 81421 49362",No,"Goddess Sri Tataiahgunta Gangamma is worshipped as the fierce protective deity of Tirupati; the temple stands on the former tank-bed area called Thathayagunta, named after devotee Tirumala Thathacharyulu who is believed to have consecrated the deity in the 16th century","mornings 7:00–10:00 AM, evenings 6:00–9:00 PM",https://gotirupati.com/tirupati-gangamma-temple-abhishekam-homam-timings/.,Not required,"Not as strictly codified as Tirumala, but visitors are expected to dress modestly and traditionally",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1ZuDramTeilp7JSTYRmHyXMgUaZK0EqLk/view?usp=sharing
6,Vakula Matha Temple,"Pathakalva, Vakulapuram, Peruru village, near Tirupati, Andhra Pradesh 517505, India (about 5 km from Tirupati and ~10 km from Tirumala hills)",13.60173834,79.3664736,,,,Yes,"Hilltop temple spread over roughly 50–80+ acres, built so that Vakula Devi faces the seven hills of Tirumala where Lord Venkateswara resides",mornings 7:00–10:00 AM and evenings 5:30–7:30 PM tend to be busier,https://ttdevasthanams.ap.gov.in/temples,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1PBp57lTIKE3RL16ZNu4voLLfCcy9wpvu/view?usp=sharing
7,ISKCON Radha Govinda Temple,"Hare Krishna Land, Hare Krishna Road, Vinayaka Nagar, Tirupati, Andhra Pradesh 517507, India",13.64736824,79.41374987,,,91‑99855‑89692 / 91‑877‑2230009,Yes,"Features ornate façade, large hall, beautifully dressed deities of Radha and Krishna, and Govinda restaurant serving sattvic vegetarian food.","i (4:15–5:00 AM, 7:30–9:00 AM), (7:00–8:00 PM)",https://iskcontirupati.org.,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1bI1tFfBvxuQk5l1rqKiF6uJpG_JSaCeg/view?usp=sharing
8,Sri Bhu Varaha Swamy Temple (Sri Varahaswami Temple),"Balaji Nagar, Tirumala, Tirupati , Andhra Pradesh 517504",13.68506962,79.34768338,,,,No,"Deity is 2‑foot Bhu Varaha (boar avatar of Vishnu) with Bhudevi on lap, holding shankha–chakra, teaching Tattva Jnana.","early morning (6:00–9:00 AM), late evening (7:00–9:00 PM)",: https://www.tirumala.org/Varaha_TempleLegend.aspx,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1tKeCdLAa3REwRdB1bMIn7sFjzntR73Qb/view?usp=sharing
9,Sri Bedi Anjaneya Swamy Temple,"Tirumala, Tirupati , Andhra Pradesh 517504",13.68357438,79.34935338,,,TTD Helpline: 0877-2233333 / 2277777.,No,"The Sri Bedi Anjaneya Swamy Temple in Tirumala is a significant shrine where Lord Hanuman is worshipped with his hands bound (""Bedi""), a legend says his mother tied him to prevent him from leaving in search of a camel",10:00 AM – 1:00 PM and 5:00 PM – 7:00 PM (Saturdays & Sundays are busiest).,https://www.tirumala.org/Anjaneya_TempleLegend.aspx,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1tAWa0FlbGmKDvSNU2vtvDGE7DYlgzfj_/view?usp=sharing
10,Sri Kalyana Venkateswara Swamy Temple,"New St, Tirupati, Mittapalem, Andhra Pradesh 517102",13.61616465,79.32732978,,,TTD Helpline: 0877-2233333 / 2277777.,Yes,"12th century temple where Lord Venkateswara stayed post‑marriage; features Kalyana Venkateswara with Padmavathi, Sridevi, Bhudevi; daily marriage ceremony performed.",,https://www.tirumala.org/MoreTemples.aspx.,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/146Vyeui1kf-jBgxcVuS6qpwLiqAIV8It/view?usp=sharing
