entity_id,day,opening_time,closing_time,is_closed
1,all,7:00 AM,11:30,FALSE
1,all,12:30 PM,6:00 PM,FALSE
1,all,7:00 PM,9:00 PM,FALSE
2,all,5:00 AM,12:30 PM,FALSE
2,all,2:00 PM,9:00 PM,FALSE
3,all,5:00 AM,4:00 PM,FALSE
3,all,4:30 PM,9:00 PM,FALSE
4,all,5:00 AM,12:00 PM,FALSE
4,all,4:00 PM,9:00 PM,FALSE
5,all,6:00 AM,8:30 PM,FALSE
6,all,5:30 AM,12:00 PM,FALSE
6,all,4:30 PM,8:30 PM,FALSE
7,all,4:30 AM,1:00 PM,FALSE
7,all,4:30 PM,8:30 PM,FALSE
8,all,5:30 AM,12:00 PM,FALSE
8,all,5:00 PM,9:00 PM,FALSE
9,all,5:30 AM,9:00 PM,FALSE
10,all,5:30 AM,7:30 PM,FALSE
11,all,5:45 AM,8:00 PM,FALSE
12,all,6:00 AM,1:30 PM,FALSE
12,all,3:30 PM,7:30 PM,FALSE
13,all,6:00 AM,8:00 PM,FALSE
14,all,6:00 AM,12:00 PM,FALSE
14,all,4:00 PM,9:00 PM,FALSE
15,all,6:00 AM,9:00 PM,FALSE
16,all,4:00 AM,9:30 PM,FALSE
17,all,7:00 AM,12:00 PM,FALSE
17,all,4:30 PM,7:00 PM,FALSE
18,all,8:00 AM,7:30 PM,FALSE
19,all,5:00 AM,1:00 PM,FALSE
19,all,4:00 PM,9:15 PM,FALSE
20,all,8:00 AM,8:00 PM,FALSE
21,all,9:30 AM,6:00 PM,FALSE
22,all,,,
23,Friday,9:00 AM,5:00 PM,TRUE
24,all,10:00 AM,6:00 PM,FALSE
25,Friday,9:00 AM,5:30 PM,TRUE
26,All,,,FALSE
27,All,6:00 AM,9:00 AM,FALSE
27,All,4:00 PM,8:00 PM,FALSE
28,All,6:00 AM,6:00 PM,FALSE
29,All,6:00 AM,7:30 PM,FALSE
30,All,4:00 AM,8:30 PM,FALSE
31,Tuesday,10:30 AM,5:30 PM,TRUE
32,All,5:00 AM,9:00 PM,FALSE
33,All,5:00 AM,9:00 PM,FALSE
34,All,5:00 AM,9:00 AM,FALSE
35,All,5:00 AM,9:00 AM,FALSE
36,All,5:00 AM,9:00 PM,FALSE
37,All,3:00 PM,7:00 PM,FALSE
38,All,,,FALSE
39,All,9:30 AM,11:00 PM,FALSE
40,All,,,FALSE
41,All,5:00 AM,9:00 PM,FALSE
42,All,5:00 AM,10:00 PM,FALSE
43,All,9:00 AM,5:00 PM,FALSE
44,All,9:00 AM,9:00 PM,FALSE
45,All,,,FALSE
46,All,6:30 AM,7:30 PM,FALSE
47,All,5:00 AM,8:00 AM,FALSE
48,All,,,FALSE
49,All,8:30 AM,6:00 PM,FALSE
50,All,11:00 AM,6:00 PM,FALSE
51,All,,,FALSE
52,All,10:00 AM,5:30 PM,FALSE
53,All,,,FALSE
54,All,,,FALSE
55,All,12:00 AM,12:00 PM,FALSE
56,All,,,FALSE
57,All,,,FALSE
58,All,5:00 AM,10:00 PM,FALSE
59,All,12:00 AM,12:00 PM,FALSE
60,All,7:30 AM,9:00 PM,FALSE
61,All,12:00 AM,12:00 PM,FALSE
62,All,5:00 AM,9:00 PM,FALSE
63,All,,,FALSE
64,All,10:00 AM,5:00 PM,FALSE
65,All,,,FALSE
66,All,8:00 AM,4:00 PM,FALSE
67,Tuesday,8:30 AM,4:45 PM,TRUE
68,All,11:00 AM,11:00 PM,FALSE
69,All,11:00 AM,12:00 AM,FALSE
70,All,11:30 AM,11:00 PM,FALSE
71,All,12:00 PM,11:00 PM,FALSE
72,All,11:30 AM,10:30 PM,FALSE
73,All,10:30 AM,10:30 PM,FALSE
74,All,11:30 AM,11:30 PM,FALSE
75,All,11:00 AM,10:30 PM,FALSE
76,All,11:30 AM,10:30 PM,FALSE
77,All,12:00 PM,10:30 PM,FALSE
78,All,12:30 PM,11:00 PM,FALSE
79,All,12:00 PM,11:00 PM,FALSE
80,All,7:00 AM,10:30 PM,FALSE
81,All,8:00 AM,11:00 PM,FALSE
82,All,10:00 AM,11:00 PM,FALSE
83,All,11:00 AM,11:00 PM,FALSE
84,All,11:00 AM,11:00 PM,FALSE
85,All,9:00 AM,11:00 PM,FALSE
86,All,12:00 PM,11:00 PM,FALSE
87,All,7:00 AM,11:00 PM,FALSE
88,All,12:00 PM,10:30 PM,FALSE
89,All,7:00 AM,10:30 PM,FALSE
90,All,11:30 AM,10:30 PM,FALSE
91,All,7:00 AM,10:30 PM,FALSE
92,All,11:30 AM,10:30 PM,FALSE
93,All,6:00 AM,6:00 PM,FALSE
94,All,6:00 AM,6:00 PM,FALSE
95,All,6:00 AM,8:00 PM,FALSE
96,All,6:00 AM,6:00 PM,FALSE
97,All,5:00 AM,1:00 PM,FALSE
98,All,2:00 PM,7:00 PM,FALSE
