entity_id,item_id,item_name,price,timing,item type,signature dish
1,1,Sarva Darshanam,Free,,darshan,FALSE
1,2,Special Entry Darshanam (SED),200,,darshan,FALSE
1,3,VIP Break Darshanam/Supadham,250,,darshan,FALSE
1,4,Suprabhatham,50,4.30 AM,seva,FALSE
1,5,Padmavathi Parinayam (Kalyanotsavam),500,10.00 AM - 11.00 AM,seva,FALSE
1,6,Astadala Pada Padmaradhana seva,300,7.00 AM- 7.30 AM,seva,FALSE
1,7,Tiruppavada seva,1000,7.00 AM - 7.30 AM,seva,FALSE
1,8,Vastralankarana Seva,"10,000",5.30 AM - 7.00 AM,seva,FALSE
1,9,Abhishekam,500,5.30 AM - 7.00 AM,seva,FALSE
1,10,Lakshmi Puja,100,9.30 AM - 10.00 AM,seva,FALSE
1,11,Pushpanjali Seva,300,7.00 AM - 7.30 AM,seva,FALSE
1,12,Anna Prasadam,Free,11:00 AM – 4:00 PM,prasadam,FALSE
1,13,Anna Prasadam,Free,6:30 PM – 9:30 PM ​,prasadam,FALSE
1,14,Naivedyam,Free,6:30 AM–7:30 AM,prasadam,FALSE
1,15,Naivedyam,Free,5:45 PM –7:00 PM,prasadam,FALSE
2,16,Spl. Entrance,5,,darshan,FALSE
2,17,Quick Dharshan,20,,darshan,FALSE
2,18,Suprabhatham,10,5:00 AM - 5:30 AM,seva,FALSE
2,19,Thomala Seva,10,6:30AM - 7:00 AM,seva,FALSE
2,20,Archanananthara Darsanam,10,8:00 AM - 8:30 AM,seva,FALSE
2,21,Ekanthaseva,10,9:00 PM,seva,FALSE
2,22,Anna Prasadam,Free,11:00 AM – 4:00 PM,prasadam,FALSE
2,23,Naivedyam,Free,8:45 AM –9:30 AM,prasadam,FALSE
2,24,Naivedyam,Free,12:30 PM –1:15 PM,prasadam,FALSE
2,25,Naivedyam,Free,4:45 PM–6:00 PM,prasadam,FALSE
3,26,Sarva Darshan (general),Free,15–45 minutes,darshan,FALSE
3,27,Abhisheka Anantara / Special Entrance darshan (linked with paid sevas),Free,20–40 minutes,darshan,FALSE
3,28,Suprabhata Seva,10,5:00 AM – 5:30 AM​,seva,FALSE
3,29,Abhishekam (morning),50,5:30 AM – 6:30 AM​,seva,FALSE
3,30,Abhisheka Anantara Darshanam,2,6:30 AM​,seva,FALSE
3,31,Sahasranama Archana / Darshanam,5,4:30 PM –5:00 PM​,seva,FALSE
3,32,Abhishekam (evening),50,4:00 PM – 4:30 PM​,seva,FALSE
3,33,Archana / Harathi,5,8:00 PM​,seva,FALSE
3,34,Ekantha Seva,10,8:00 PM – 8:15 PM​,seva,FALSE
3,35,Anna Prasadam,Free,5:00 AM – 3:30 PM,prasadam,FALSE
3,36,Anna Prasadam,Free,5:00 PM – 10:30 PM ​,prasadam,FALSE
4,37,Sarva Darshan (general),Free,20–45 minutes,darshan,FALSE
4,38,"Darshan via/after specific sevas (e.g., Suprabhata, Archana)",Free,20–40 minutes,darshan,FALSE
4,39,Suprabhata Seva / Suprabhatham,15,5:00AM – 5:30 AM​,seva,FALSE
4,40,Suprabhata Darshanam,Free,5:30AM – 6:00 AM​,seva,FALSE
4,41,Sarva Darshan (morning session),Free,6:00AM - 12:00 PM​,seva,FALSE
4,42,Thomala Seva,15,8:00AM – 8:45 AM​,seva,FALSE
4,43,Sahasranama Archana,35,8:45AM – 9:15 AM​,seva,FALSE
4,44,Archana Anantara Darshanam,Free,9:15AM – 10:00 AM​,seva,FALSE
4,45,Ekantha Seva,15,8:45AM – 9:00 PM,seva,FALSE
4,46,"pulihora, sweet pongal/laddu",Free,8:45AM–11:00 AM,prasadam,FALSE
4,47,"pulihora, sweet pongal/laddu",Free,7:00AM–8:30 PM,prasadam,FALSE
5,48,Sarva Darshan (general queue),Free,15–40 minutes,darshan,FALSE
5,49,Darshan with seva (after poojas like Abhishekam / Alankarana etc.),Free,20–45 minutes,darshan,FALSE
5,50,Archana,10,6:00AM-8:30PM,seva,FALSE
5,51,Pongali Taligaradhana,20,6:00AM-8:30PM,seva,FALSE
5,52,Vahana Pooja (2-wheeler),50,6:00AM-8:30PM,seva,FALSE
5,53,Vahana Pooja (4-wheeler),100,6:00AM-8:30PM,seva,FALSE
5,54,Abhishekam,300,7:00 AM – 8:00 AM​,seva,FALSE
5,55,Kumkum Archana,151,11:00 AM - 6:00 PM​,seva,FALSE
5,56,Chandi Homam,501,9:00 AM – 11:30 AM,seva,FALSE
5,57,Alankarana Seva Darshan,Free,10:30 AM​,seva,FALSE
5,58,"Usual prasadam includes pongal/pongali, pulihora and other offerings",Free,8:30AM–10:30 AM,prasadam,FALSE
5,59,"Usual prasadam includes pongal/pongali, pulihora and other offerings",Free,6:30AM–8:30 PM,prasadam,FALSE
6,60,Sarva Darshan (general darshan),Free,15–40 minutes,darshan,FALSE
6,61,Suprabhata Seva,15,5:30 AM.​,seva,FALSE
6,62,Nivedana (morning),,6:00 AM – 6:45 AM.​,seva,FALSE
6,63,Sarva Darshan,Free,6:45 AM – 11:30 AM; 4:30 PM – 6:00 PM.​,seva,FALSE
6,64,Archana + Nivedana,10–50,11:30 AM – 12:00 PM.​,seva,FALSE
6,65,Evening Nivedana,,6:00 PM – 6:30 PM.​,seva,FALSE
6,66,Evening Sarva Darshan,Free,6:30 PM – 8:30 PM.​,seva,FALSE
6,67,Ekanta Seva (closing),,8:30 PM,seva,FALSE
6,68,Standard temple prasadam (Naivedyam) such as pulihora/sweet offerings,,6:45AM–11:30 AM,prasadam,FALSE
6,69,Standard temple prasadam (Naivedyam) such as pulihora/sweet offerings,,11:30AM–12:00PM,prasadam,FALSE
7,70,General darshan during open hours,Free,20–30 minutes,darshan,FALSE
7,71,"Darshan during major aartis (Mangala, Gaura, Sayana, etc.)",Free,30–45 minutes,darshan,FALSE
