entity_id,sub_sub_category
1,Goddess Padmavati
1,the consort of Lord Venkateswara
1,Alamelu Mangapuram Temple
1,Alimelumangapuram Temple
1,wife of Lord venkateswara
1,Alamelu manga
1,lakshmi
1,"Sri Padmavati Ammavaari Temple, Tiruchanur (Alimelu Mangapuram)"
2,Govinda
2,Sri Govindaraja Swamy Temple
2,balaji
2,srinivasa
2,perumal
2,venkatachalapathi
2,narayana
2,venkanna
2,vishnu
3,Kapila Theertham
3,Sri Kapileswara Swamy Temple (Kapila Theertham)
3,Azhwar Theertham
3,Temple of Seven Hills
3,Kapileswara Swamy Temple
3,shiva
4,Rama
4,ramudu
4,sitapathi
6,Vakula Devi Temple
6,mother of venkateswara swami
7,ISKCON Tirupati
7,Hare Krishna Temple
7,krishna Temple
7,Radha krishna
7,madhava
7,radha ramana
7,hari
7,keshava
8,Sri Varahaswami Temple
8,Bhu Varahaswamy Temple
8,vishnu
8,adi varaswami
9,Anjaneya
9,maruti
9,pawana putra
9,bajrang bali
10,balaji
10,srinivasa
10,govinda
10,perumal
10,venkatachalapathi
10,narayana
10,venkanna
10,vishnu
10,Srinivasa Mangapuram
11,Govinda
11,balaji
11,srinivasa
11,perumal
11,venkatachalapathi
11,narayana
11,venkanna
11,vishnu
12,shiva
12,siva
12,mahadeva
12,shankara
12,maheshwara
12,thonvada temple
12,bholenath
12,nataraja
12,nilakanta
12,pashupati
13,shiva
13,siva
13,mahadeva
13,shankara
13,maheshwara
13,bholenath
13,nataraja
13,nilakanta
13,pashupati
14,shiva
14,siva
14,mahadeva
14,shankara
14,maheshwara
14,bholenath
14,nataraja
14,nilakantha
14,pashupati
15,shiva
15,siva
15,kalahasti temple
15,kalahasthi temple
15,Dakshina Kailasam
15,Rahu-Ketu Kshetra
15,vayu linga
15,mahadeva
15,shankara
15,maheshwara
15,bholenath
15,nataraja
15,nilakantha
15,pashupati
16,Kanipakam Vinayaka Temple
16,Sri Varasidhi Vinayaka Swamy Temple
16,Svayambhu Sri Varasidhi Vinayaka Temple
16,Kanipakam Temple
16,vinayaka
16,ganesha
16,ganapati
16,vigneshwara
17,muruga
17,karthikeya
17,shanmuga
18,maha lakshmi
19,muruga
19,karthikeya
19,shanmuga
23,Raja mahal
110,Anjaneya
110,maruti
110,pawan putra
110,bajrang bali
112,Anjaneya
112,maruti
112,pawan putra
112,bajrang bali
